Incident Category,Incident Day of Week,Incident Year,Analysis Neighborhood,Longitude,Latitude,Report Type Description
Fraud,Saturday,2018,Pacific Heighs,-122.4301684,37.78744082,Initial
Robbery,Friday,2018,Excelsior,-122.4312826,37.70964139,Initial
Assault,Sunday,2018,Outer Mission,-122.4576703,37.70953989,Initial
Assault,Wednesday,2018,Bayview Hunters Point,-122.4021835,37.75058076,Initial
Stolen Property,Wednesday,2018,Outer Mission,-122.4500955,37.70967991,Initial
Robbery,Thursday,2018,Bayview Hunters Point,-122.3962735,37.7497456,Initial
Assault,Saturday,2018,Excelsior,-122.4319272,37.7127666,Initial
Stolen Property,Wednesday,2018,Western Addition,-122.4327062,37.78329259,Initial
Fraud,Friday,2018,Pacific Heighs,-122.431092,37.79200846,Initial
Assault,Sunday,2018,Mission,-122.4178022,37.76840527,Initial
Robbery,Wednesday,2018,Bernal Heights,-122.4203576,37.74649204,Initial
Assault,Sunday,2018,Bayview Hunters Point,-122.3962728,37.72098153,Initial
Stolen Property,Thursday,2018,Bayview Hunters Point,-122.3926394,37.75254468,Initial Supplement
Robbery,Monday,2018,Outer Mission,-122.4333575,37.7265882,Initial
Fraud,Tuesday,2018,Excelsior,-122.4383811,37.7105673,Initial
Stolen Property,Monday,2018,Haight Ashbury,-122.4407351,37.77271287,Initial
Assault,Monday,2018,Castro/Upper Market,-122.4317003,37.76432401,Initial
Fraud,Monday,2018,Castro/Upper Market,-122.4277045,37.76564283,Initial
Assault,Wednesday,2018,Tenderloin,-122.4111398,37.7850746,Initial
Fraud,Monday,2018,Haight Ashbury,-122.4458448,37.76323493,Initial
Fraud,Wednesday,2018,Mission,-122.4181181,37.76030106,Initial
Assault,Tuesday,2018,Oceanview/Merced/Ingleside,-122.4561335,37.7200333,Initial
Assault,Monday,2018,Tenderloin,-122.4199279,37.78682753,Initial
Assault,Wednesday,2018,Bayview Hunters Point,-122.3903446,37.73459871,Initial
Assault,Saturday,2018,Sunset/Parkside,-122.503392,37.75492613,Initial Supplement
Assault,Wednesday,2018,Hayes Valley,-122.422598,37.7750207,Initial
Assault,Wednesday,2018,Financial District/South Beach,-122.3997634,37.79225795,Initial
Assault,Sunday,2018,Mission,-122.4241027,37.76478345,Initial
Assault,Saturday,2018,Chinatown,-122.4098788,37.79844229,Initial
Assault,Tuesday,2018,Bayview Hunters Point,-122.3707119,37.72818912,Initial
Assault,Monday,2018,Bayview Hunters Point,-122.3898645,37.73716953,Initial
Robbery,Friday,2018,Financial District/South Beach,-122.4053461,37.78674762,Initial
Assault,Saturday,2018,Nob Hill,-122.4202104,37.7882227,Initial
Fraud,Sunday,2018,Financial District/South Beach,-122.4078525,37.78549156,Initial
Robbery,Tuesday,2018,Marina,-122.4422098,37.80578627,Initial
Assault,Sunday,2018,,,,Initial Supplement
Robbery,Tuesday,2018,South of Market,-122.4165757,37.77390625,Initial
Fraud,Tuesday,2018,Tenderloin,-122.4131614,37.78672974,Initial
Robbery,Thursday,2018,Financial District/South Beach,-122.4037118,37.78404444,Initial
Fraud,Saturday,2018,Castro/Upper Market,-122.4308822,37.76437351,Initial
Stolen Property,Sunday,2018,Nob Hill,-122.4202104,37.7882227,Initial
Fraud,Sunday,2018,Portola,-122.4040509,37.71892832,Initial Supplement
Robbery,Tuesday,2018,Marina,-122.4428461,37.79997798,Initial
Assault,Sunday,2018,West of Twin Peaks,-122.4541158,37.72345701,Initial
Robbery,Thursday,2018,Western Addition,-122.4389268,37.78058849,Initial
Assault,Friday,2018,Bayview Hunters Point,-122.397271,37.72092962,Initial
Fraud,Wednesday,2018,Mission,-122.4228534,37.76485895,Initial
Assault,Saturday,2018,Bayview Hunters Point,-122.3950577,37.7310545,Initial
Robbery,Friday,2018,Sunset/Parkside,-122.4811812,37.74468118,Initial
Robbery,Thursday,2018,Castro/Upper Market,-122.4340624,37.76255082,Initial
Assault,Friday,2018,Excelsior,-122.4339851,37.7200628,Initial
Fraud,Tuesday,2018,Oceanview/Merced/Ingleside,-122.4591984,37.72002413,Initial
Stolen Property,Wednesday,2018,Financial District/South Beach,-122.4019734,37.80407225,Initial
Assault,Friday,2018,Marina,-122.4247313,37.80228098,Initial
Robbery,Friday,2018,Tenderloin,-122.4191817,37.7831014,Initial
Fraud,Saturday,2018,Financial District/South Beach,-122.4067711,37.78849948,Initial
Fraud,Wednesday,2018,South of Market,-122.4153206,37.7767177,Initial
Assault,Saturday,2018,Mission,-122.415577,37.76959116,Initial
Assault,Thursday,2018,Tenderloin,-122.4180432,37.77751171,Initial
Assault,Sunday,2018,North Beach,-122.4090505,37.80811075,Initial
Assault,Thursday,2018,Hayes Valley,-122.4224071,37.77408497,Initial
Robbery,Monday,2018,Mission,-122.419206,37.76023535,Initial
Stolen Property,Saturday,2018,North Beach,-122.4090505,37.80811075,Initial
Assault,Wednesday,2018,Mission,-122.4195574,37.75217141,Initial
Assault,Monday,2018,Bayview Hunters Point,-122.393172,37.72203472,Initial
Assault,Monday,2018,Mission,-122.4257668,37.75822683,Initial
